Time,si,mg
731346.500694444,4.5,0.82
731346.559027778,NaN,NaN
731346.559722222,NaN,NaN
731346.583333333,4.99,1.13
731346.584027778,4.79,0.76
731346.666666667,5.05,0.97
731346.667361111,5.08,0.95
731346.75,4.36,0.87
731346.750694444,4.5,2.12
731346.833333333,4.76,0.95
731346.834027778,4.77,0.89
731346.916666667,4.68,0.97
731346.917361111,4.84,0.95
731347,4.58,0.88
731347.000694444,4.64,0.89
731347.083333333,4.62,0.9
731347.084027778,4.67,0.76
731347.18125,4.55,0.91
731347.181944444,NaN,NaN
731347.183333333,4.79,0.9
731347.25,4.54,0.98
731347.250694444,4.57,0.81
731347.333333333,4.67,0.96
731347.334027778,5.06,0.85
731347.416666667,4.87,0.91
731347.417361111,5.17,1.08
731347.5,4.98,0.9
731347.500694444,5.32,1.07
731347.583333333,4.89,0.87
731347.584027778,5.11,0.98
731347.666666667,4.49,0.8
731347.667361111,4.83,0.84
731347.75,4.72,0.85
731347.750694444,5.1,0.95
731347.861111111,4.68,0.85
731347.861805556,5.07,0.96
731347.916666667,4.56,0.82
731347.917361111,4.8,0.84
731348,4.32,0.82
731348.000694444,4.59,0.95
731348.083333333,4.23,0.85
731348.084027778,4.46,0.94
731348.166666667,4.46,0.85
731348.167361111,4.9,0.99
731348.25,4.62,0.88
731348.250694444,5.09,1.05
731348.333333333,4.13,0.83
731348.334027778,4.54,1.05
731348.416666667,4.52,0.88
731348.417361111,4.87,1.08
731348.5,4.3,0.86
731348.500694444,4.5,0.89
731348.583333333,4.4,0.87
731348.584027778,4.5,0.95
731348.666666667,4.45,0.85
731348.667361111,4.66,0.98
731348.75,4.53,0.84
731348.750694444,4.84,0.9
731348.833333333,4.64,0.84
731348.834027778,4.86,0.96
731348.916666667,4.45,0.82
731348.917361111,4.68,0.91
731349,4.61,1.07
731349.000694444,4.86,1.02
731349.083333333,4.54,0.86
731349.084027778,4.74,0.95
731349.166666667,4.33,0.85
731349.167361111,4.6,0.91
731349.25,5.75,1.08
731349.250694444,5.96,1.34
731349.333333333,4.67,0.91
731349.334027778,5.08,1.11
731349.416666667,4.55,0.86
731349.417361111,4.98,0.99
731349.500694444,4.46,0.86
731349.501388889,4.83,0.99
731349.583333333,4.24,0.84
731349.584027778,4.62,0.94
731349.666666667,4.23,0.87
731349.667361111,4.54,0.96
731349.75,4.53,0.87
731349.750694444,4.95,1.02
731349.833333333,4.74,0.9
731349.834027778,4.77,1
731349.916666667,4.52,0.85
731349.917361111,4.94,0.99
731350,4.69,0.88
731350.000694444,4.97,0.95
731350.083333333,4.32,0.82
731350.084027778,4.44,0.86
731350.333333333,4.48,0.89
731350.334027778,4.47,0.83
731350.416666667,2.78,0.69
731350.417361111,2.92,0.61
731350.5,3.76,0.79
731350.500694444,4.14,0.83
731350.583333333,4.8,1
731350.584027778,5,1.14
731350.666666667,5.45,1.06
731350.667361111,5.55,1.04
731350.75,4.9,1.12
731350.750694444,4.84,1.29
731350.833333333,4.28,1.13
731350.834027778,4.73,1.45
731350.916666667,4.33,1.14
731350.917361111,4.76,1.52
731351,4.62,1.17
731351.000694444,5.02,1.44
731351.083333333,4.73,1.2
731351.084027778,5.15,1.63
731351.166666667,5.03,1.09
731351.167361111,4.55,1.44
731351.25,4.53,1.15
731351.250694444,4.83,1.47
731351.333333333,5.12,1.37
731351.334027778,5.37,1.85
731351.416666667,4.07,1.15
731351.417361111,4,1.3
731351.5,3.78,1.07
731351.500694444,3.73,1.29
731351.583333333,4.86,1.3
731351.584027778,4.9,1.68
731351.666666667,4.32,1.2
731351.667361111,4.01,1.28
731351.75,4.45,1.2
731351.750694444,3.97,1.3
731351.833333333,4.25,1.14
731351.834027778,3.8,1.25
731353.333333333,4.97,1.19
731353.334027778,4.55,1.35
731353.416666667,4.43,1.14
731353.417361111,4.14,1.27
731353.485416667,NaN,NaN
731353.486111111,4.99,1.51
731353.597916667,4.73,1.24
731353.598611111,4.52,1.37
731353.683333333,4.72,1.2
731353.684027778,NaN,NaN
731353.75,4.58,1.2
731353.750694444,5.04,1.65
731353.833333333,4.66,1.4
731353.834027778,4.87,1.76
731353.916666667,4.78,1.51
731353.917361111,4.67,1.53
731354,4.48,1.06
731354.000694444,4.69,1.33
731354.083333333,4.49,1.11
731354.084027778,4.09,1.19
731354.166666667,4.17,1.04
731354.167361111,4.36,1.44
731354.25,4.44,1.16
731354.250694444,4.27,1.26
731354.333333333,4.48,1.08
731354.334027778,4.42,1.23
731354.416666667,4.45,1.07
731354.417361111,NaN,NaN
731354.418055556,4.76,1.38
731354.5,4.3,1.11
731354.500694444,4.43,1.25
731354.583333333,4.45,1.1
731354.584027778,NaN,NaN
731354.584722222,4.58,1.41
731354.666666667,5.01,1.18
731354.667361111,4.75,1.32
731354.745833333,NaN,NaN
731354.750694444,4.6,1.18
731354.751388889,4.79,0.136
731354.833333333,5.13,1.19
731354.834027778,5.18,1.45
731354.916666667,4.7,1.07
731354.917361111,5.18,1.56
731355,5.05,1.19
731355.000694444,4.85,1.34
731355.083333333,4.85,1.19
731355.084027778,4.67,1.39
731355.166666667,4.02,1.07
731355.167361111,4.06,1.3
731355.25,4.43,1.15
731355.250694444,4.1,1.29
731355.333333333,4.34,1.1
731355.334027778,4.42,1.27
731355.409722222,5.04,1.2
731355.410416667,5.19,1.49
731355.495138889,4.87,1.13
731355.495833333,5.04,1.41
731355.659722222,4.49,1.11
731355.660416667,4.62,1.36
731355.736111111,5,1.16
731355.736805556,5.1,1.4
731355.833333333,5.1,1.15
731355.834027778,5.23,1.42
731355.916666667,4.62,1.16
731355.917361111,4.83,1.39
731356,4.71,1.16
731356.000694444,4.9,1.51
731356.084722222,4.63,1.14
731356.085416667,4.76,1.43
731356.166666667,4.35,1.11
731356.167361111,4.37,1.34
731356.25,4.85,1.2
731356.250694444,5.15,1.58
731356.333333333,5.23,1.22
731356.334027778,5.12,1.46
731356.416666667,NaN,NaN
731356.417361111,NaN,NaN
731356.740277778,6.21,1.41
731356.740972222,6.14,1.81
731356.833333333,5.1,1.24
731356.834027778,5.21,1.61
731356.916666667,4.2,1.21
731356.917361111,4.16,1.55
731357,3.39,1.17
731357.000694444,3.39,1.55
731357.083333333,4.01,1.43
731357.084027778,4.06,1.93
731357.166666667,5.31,1.38
