Time,si,mg
731422.417361111,4.68,1.33
731422.5,5.09,1.49
731422.500694444,4.85,1.35
731422.583333333,NaN,NaN
731422.584027778,5,1.36
731422.666666667,NaN,NaN
731422.667361111,3.94,1.11
731422.75,4.75,1.51
731422.750694444,4.68,1.29
731422.833333333,NaN,NaN
731422.834027778,4.76,1.39
731422.916666667,NaN,NaN
731422.917361111,4.54,1.27
731423,4.23,1.36
731423.000694444,4.18,1.25
731423.083333333,NaN,NaN
731423.084027778,4.57,1.39
731423.166666667,NaN,NaN
731423.167361111,4.41,1.43
731423.25,4.26,1.5
731423.250694444,3.99,1.3
731423.333333333,NaN,NaN
731423.334027778,3.92,1.24
731423.416666667,NaN,NaN
731423.417361111,3.9,1.26
731423.5,4.51,1.48
731423.500694444,4.05,1.2
731423.583333333,NaN,NaN
731423.584027778,NaN,NaN
731423.584722222,4.32,1.37
731423.666666667,NaN,NaN
731423.667361111,NaN,NaN
731423.668055556,4.34,1.36
731423.75,4.02,1.3
731423.750694444,3.78,1.25
731423.833333333,NaN,NaN
731423.834027778,2.77,1.14
731423.916666667,NaN,NaN
731423.917361111,2.36,1.13
731424,2.85,1.28
731424.000694444,2.6,1.19
731424.083333333,NaN,NaN
731424.084027778,2.7,1.17
731424.166666667,NaN,NaN
731424.167361111,3.18,1.22
731424.25,3.03,1.03
731424.250694444,2.85,0.95
731424.333333333,3.85,1.23
731424.334027778,NaN,NaN
731424.334722222,3.51,1.12
731424.416666667,5.41,1.71
731424.417361111,5.02,1.62
731424.5,NaN,NaN
731424.500694444,5.12,1.5
731424.583333333,NaN,NaN
731424.584027778,3.8,1.11
731424.666666667,NaN,NaN
731424.667361111,3.92,1.08
731424.75,NaN,NaN
731424.750694444,4.52,1.25
731424.833333333,NaN,NaN
731424.834027778,3.79,1.02
731424.916666667,NaN,NaN
731424.917361111,2.81,0.9
731425,4.66,1.34
731425.000694444,4.48,1.33
731425.083333333,NaN,NaN
731425.084027778,4.3,1.25
731425.166666667,NaN,NaN
731425.167361111,3.84,1.18
731425.25,4.04,1.28
731425.250694444,4.04,1.28
731425.333333333,4.2,1.42
731425.334027778,4.2,1.42
731425.416666667,3.96,1.38
731425.417361111,3.96,1.38
731425.5,4.39,1.47
731425.500694444,4.31,1.47
731425.583333333,3.95,1.41
731425.584027778,3.95,1.41
731425.666666667,3.73,1.3
731425.667361111,3.73,1.3
731425.75,3.96,1.31
731425.750694444,4.01,1.41
731425.833333333,4.43,1.4
731425.834027778,4.54,1.53
731426,3.44,1.09
731426.000694444,3.51,1.24
731426.083333333,4.88,1.44
731426.084027778,5.15,1.59
731426.166666667,4.85,1.4
731426.167361111,NaN,NaN
731426.168055556,5.17,1.54
731426.25,4.7,1.48
731426.250694444,4.87,1.58
731426.333333333,4.06,1.35
731426.334027778,4.08,1.53
731426.416666667,3.2,1.13
731426.417361111,3.15,1.22
731426.5,3.87,1.33
731426.500694444,3.96,1.45
731426.583333333,NaN,NaN
731426.584027778,3.61,1.41
731426.666666667,NaN,NaN
731426.667361111,3.78,1.5
731426.75,3.59,1.29
731426.750694444,3.62,1.41
731426.833333333,NaN,NaN
731426.834027778,3.64,1.38
731426.916666667,NaN,NaN
731426.917361111,3.96,1.59
731427,3.95,1.47
731427.000694444,3.91,1.48
731427.083333333,NaN,NaN
731427.084027778,NaN,NaN
731427.166666667,NaN,NaN
731427.167361111,2.58,1.03
731427.25,3.61,1.35
731427.250694444,3.85,1.58
731427.333333333,NaN,NaN
731427.334027778,4.07,1.57
731427.416666667,NaN,NaN
731427.417361111,3.92,1.58
731427.510416667,3.95,1.43
731427.511111111,3.7,1.45
731427.583333333,NaN,NaN
731427.584027778,3.73,1.52
731427.666666667,NaN,NaN
731427.667361111,3.83,1.55
731427.75,4.11,1.46
731427.750694444,4.29,1.59
731427.833333333,NaN,NaN
731427.834027778,3.85,1.53
731428,2.12,0.77
731428.000694444,1.96,0.85
731428.083333333,NaN,NaN
731428.084027778,3.52,1.34
731428.166666667,NaN,NaN
731428.167361111,4.02,1.59
731428.25,4.04,1.4
731428.250694444,4.08,1.51
731428.333333333,NaN,NaN
731428.334027778,3.47,1.5
731428.583333333,NaN,NaN
731428.584027778,2.58,1.23
731428.666666667,NaN,NaN
731428.667361111,2.46,1.19
731428.75,2.9,1.18
731428.750694444,2.91,1.3
731428.833333333,NaN,NaN
731428.834027778,3.16,1.31
731428.916666667,NaN,NaN
731428.917361111,4.09,1.52
731429,4.62,1.46
731429.000694444,4.85,1.69
731429.083333333,NaN,NaN
731429.084027778,4.53,1.6
731429.166666667,NaN,NaN
731429.167361111,NaN,NaN
731429.168055556,4.34,1.6
731429.25,4.21,1.4
731429.250694444,4.18,1.54
731429.333333333,NaN,NaN
731429.334027778,4.14,1.42
731429.41875,NaN,NaN
731429.420138889,2.87,1.11
731429.5,4.31,1.44
731429.500694444,4.66,1.59
731429.583333333,NaN,NaN
731429.584027778,4.28,1.53
731429.590277778,NaN,NaN
731429.590972222,NaN,NaN
731429.666666667,4.06,1.37
731429.667361111,4.09,1.5
731429.75,3.91,1.39
731429.750694444,4.03,1.5
731429.833333333,4.42,1.45
731429.834027778,4.16,1.47
731429.916666667,4.01,1.29
731429.917361111,3.99,1.34
731430,4.07,1.34
731430.000694444,4.07,1.42
731430.083333333,NaN,NaN
731430.084027778,4.22,1.47
731430.166666667,NaN,NaN
731430.167361111,4.02,1.47
731430.25,3.53,1.18
731430.250694444,3.54,1.27
731430.333333333,NaN,NaN
731430.334027778,4.75,1.75
731430.416666667,3.88,1.34
731430.417361111,4.48,1.39
731430.5,NaN,NaN
731430.500694444,3.92,1.37
731430.583333333,NaN,NaN
731430.584027778,4.28,1.41
731430.666666667,NaN,NaN
731430.667361111,4.12,1.34
731430.75,3.44,1.16
731430.750694444,3.79,1.32
731430.833333333,4.03,1.32
731430.834027778,4.32,1.4
731430.916666667,3.78,1.32
731430.917361111,3.97,1.35
731431,4.47,1.47
731431.000694444,4.4,1.41
731431.083333333,NaN,NaN
731431.084027778,4.48,1.43
731431.166666667,NaN,NaN
731431.167361111,4.39,1.24
731431.25,5.45,1.43
731431.250694444,5.42,1.41
731431.333333333,NaN,NaN
731431.334027778,5.03,1.23
731431.416666667,NaN,NaN
731431.417361111,5.21,1.24
731431.5,5.01,1.33
731431.500694444,4.78,1.17
731431.583333333,NaN,NaN
731431.584027778,4.67,1.17
731431.666666667,NaN,NaN
731431.667361111,4.59,1.17
731431.75,4.96,1.33
731431.750694444,4.94,1.28
731431.833333333,NaN,NaN
731431.834027778,5.06,1.33
731431.916666667,NaN,NaN
731431.917361111,4.98,1.39
731432,4.75,1.33
731432.000694444,4.78,1.35
731432.083333333,NaN,NaN
731432.084027778,4.84,1.29
731432.166666667,NaN,NaN
731432.167361111,4.3,1.19
731432.25,4.35,1.25
731432.250694444,4.2,1.26
731432.333333333,NaN,NaN
731432.334027778,5.12,1.34
731432.416666667,4.98,1.36
731432.417361111,5.02,1.39
731432.5,4.63,1.34
731432.500694444,4.63,1.3
731432.583333333,NaN,NaN
731432.584027778,4.71,1.34
731432.666666667,NaN,NaN
731432.667361111,4.72,1.36
731432.75,5.12,1.45
731432.750694444,4.81,1.29
731432.833333333,NaN,NaN
731432.834027778,5.01,1.37
731432.916666667,NaN,NaN
731432.917361111,5.09,1.31
731432.997222222,4.83,1.35
731432.997916667,5.16,1.42
731433.083333333,NaN,NaN
731433.084027778,5.16,1.31
731433.166666667,NaN,NaN
731433.167361111,5,1.29
731433.246527778,5.24,1.49
731433.247222222,5.17,1.34
731433.333333333,NaN,NaN
731433.334027778,4.6,1.19
731433.416666667,NaN,NaN
731433.417361111,4.48,1.25
731433.5,4.31,1.24
731433.500694444,4.33,1.16
731433.583333333,NaN,NaN
731433.584027778,4.64,1.31
731433.666666667,NaN,NaN
731433.667361111,4.67,1.25
731433.75,4.11,1.2
731433.750694444,4.41,1.22
731433.833333333,NaN,NaN
731433.834027778,4.21,1.22
731433.916666667,NaN,NaN
731433.917361111,4.66,1.44
731434,4.42,1.39
731434.000694444,4.41,1.33
731434.083333333,NaN,NaN
731434.084027778,4.06,1.24
731434.166666667,NaN,NaN
731434.167361111,5.34,1.64
731434.25,4.05,1.26
731434.250694444,4.06,1.24
731434.333333333,NaN,NaN
731434.334027778,4.2,1.25
731434.416666667,NaN,NaN
731434.417361111,4.11,1.23
731434.5,3.82,1.23
731434.500694444,3.95,1.22
731434.583333333,NaN,NaN
731434.584027778,3.87,1.18
731434.666666667,NaN,NaN
731434.667361111,4.22,1.28
731434.75,4.07,1.24
731434.750694444,4.29,1.25
731434.833333333,NaN,NaN
731434.834027778,3.97,1.26
731438.166666667,NaN,NaN
731438.167361111,2.96,1.05
731438.25,2.93,1.02
731438.250694444,2.83,0.97
731438.333333333,NaN,NaN
731438.334027778,3.47,1.15
731438.416666667,NaN,NaN
731438.417361111,3.43,1.07
731438.5,3.6,1.16
731438.500694444,3.31,1.03
731438.583333333,NaN,NaN
731438.584027778,3.11,0.98
731438.666666667,NaN,NaN
731438.667361111,3.57,1.1
731438.75,4.17,1.22
731438.750694444,4.3,1.23
731438.833333333,NaN,NaN
731438.834027778,4.35,1.29
731438.916666667,NaN,NaN
731438.917361111,4.21,1.28
731439,3.97,1.17
731439.000694444,4.06,1.18
731439.083333333,NaN,NaN
731439.084027778,3.97,1.19
731439.166666667,NaN,NaN
731439.167361111,4,1.2
731439.25,4.09,1.19
731439.250694444,4.09,1.14
731439.333333333,NaN,NaN
731439.334027778,5.05,1.21
731439.416666667,NaN,NaN
731439.417361111,5.16,1.03
731439.5,NaN,NaN
731439.500694444,3.76,0.75
731439.583333333,NaN,NaN
731439.584027778,4.57,1.08
731439.666666667,NaN,NaN
731439.667361111,4.52,1.24
731439.75,NaN,NaN
731439.750694444,3.54,1.23
731439.833333333,NaN,NaN
731439.834027778,3.81,1.27
731439.916666667,NaN,NaN
731439.917361111,3.87,1.28
731440,4.14,1.3
731440.000694444,3.93,1.25
731440.083333333,NaN,NaN
731440.084027778,3.76,1.16
731440.166666667,NaN,NaN
731440.167361111,4.43,1.34
731440.25,4.56,1.26
731440.250694444,4.17,1.16
731440.333333333,NaN,NaN
731440.334027778,3.99,1.21
731440.416666667,NaN,NaN
731440.417361111,4.46,1.29
731440.5,4.93,1.3
731440.500694444,4.92,1.28
731440.583333333,NaN,NaN
731440.584027778,4.62,1.31
731440.666666667,NaN,NaN
731440.667361111,4.52,1.19
731440.75,4.33,1.3
731440.750694444,4.28,1.24
731440.833333333,NaN,NaN
731440.834027778,4.55,1.22
731440.916666667,NaN,NaN
731440.917361111,4.57,1.2
731441,4.45,1.24
731441.000694444,4.32,1.16
731441.083333333,NaN,NaN
731441.084027778,4.29,1.18
731441.166666667,NaN,NaN
731441.167361111,4.43,1.26
731441.25,4.96,1.34
731441.250694444,4.84,1.2
731441.333333333,NaN,NaN
731441.334027778,3.98,0.98
731441.416666667,NaN,NaN
731441.417361111,5.02,1.23
731441.5,5.44,1.39
731441.500694444,5.09,1.22
731441.833333333,NaN,NaN
731441.834027778,4.91,1.2
731441.916666667,NaN,NaN
731441.917361111,5.13,1.3
731442,4.88,1.34
731442.000694444,4.47,1.16
731442.083333333,NaN,NaN
731442.084027778,4.44,1.57
731442.166666667,NaN,NaN
731442.167361111,4.5,1.31
731442.25,4.03,1.3
731442.250694444,3.96,1.27
731442.333333333,NaN,NaN
731442.334027778,3.65,1.23
731442.416666667,NaN,NaN
731442.417361111,3.54,1.18
731442.5,3.89,1.3
731442.500694444,3.96,1.31
731442.583333333,NaN,NaN
731442.584027778,4.41,1.31
731442.666666667,NaN,NaN
731442.667361111,5.17,1.32
731442.75,NaN,NaN
731442.750694444,5.34,1.23
731442.833333333,NaN,NaN
731442.834027778,5.31,1.19
731442.916666667,NaN,NaN
731442.917361111,4.55,1.31
731443,NaN,NaN
731443.000694444,2.7,1.47
731443.083333333,NaN,NaN
731443.084027778,2.27,1.2
731443.166666667,NaN,NaN
731443.167361111,2.66,1.41
731443.25,NaN,NaN
731443.250694444,3.57,1.51
731443.333333333,NaN,NaN
731443.334027778,4.01,1.48
731443.416666667,NaN,NaN
731443.417361111,4.14,1.46
731443.5,4.05,1.4
731443.500694444,4.13,1.38
731443.583333333,NaN,NaN
731443.584027778,4,1.38
731443.666666667,NaN,NaN
731443.667361111,4.3,1.38
731443.75,4.2,1.44
731443.750694444,3.85,1.33
731443.833333333,NaN,NaN
731443.834027778,3.67,1.28
731443.916666667,NaN,NaN
731443.917361111,3.64,1.3
731444,2.97,1.05
731444.000694444,2.6,0.97
731444.083333333,NaN,NaN
731444.084027778,3.94,1.36
731444.166666667,NaN,NaN
731444.167361111,3.35,1.15
731444.25,3.92,1.39
731444.250694444,3.599,1.24
731444.333333333,NaN,NaN
731444.334027778,3.85,1.31
731444.75,3.57,1.25
731444.750694444,3.48,1.11
731444.833333333,NaN,NaN
731444.834027778,4.23,1.38
731444.916666667,NaN,NaN
731444.917361111,4.03,1.37
731445,NaN,NaN
731445.000694444,3.99,1.26
731445.083333333,NaN,NaN
731445.084027778,3.95,1.22
731445.166666667,NaN,NaN
731445.167361111,4.04,1.18
731445.25,4.5,1.36
731445.250694444,4.25,1.16
731445.333333333,NaN,NaN
731445.334027778,4.11,1.15
731445.416666667,NaN,NaN
731445.417361111,4.27,1.17
731445.5,4.52,1.23
731445.500694444,4.28,1.09
731445.583333333,NaN,NaN
731445.584027778,4.31,1.09
731445.666666667,NaN,NaN
731445.667361111,4.7,1.06
731445.75,4.57,1.51
731445.750694444,3.79,0.96
731445.833333333,NaN,NaN
731445.834027778,4.67,1.14
731445.916666667,NaN,NaN
731445.917361111,NaN,NaN
731445.918055556,4.91,1.18
731446,4.87,1.27
731446.000694444,4.79,1.14
731446.083333333,NaN,NaN
731446.084027778,4.52,1.08
731446.166666667,NaN,NaN
731446.167361111,4.8,1.16
731446.25,4.83,1.29
731446.250694444,4.53,1.15
731446.333333333,NaN,NaN
731446.334027778,4.87,1.17
731446.420138889,NaN,NaN
731446.420833333,4.96,1.16
731446.5,4.89,1.26
731446.500694444,4.91,1.09
731446.583333333,NaN,NaN
731446.584027778,4.76,1.15
731446.666666667,NaN,NaN
731446.667361111,4.5,1.08
731446.75,4.3,1.29
731446.750694444,4.19,1.12
731446.833333333,NaN,NaN
731446.834027778,4.8,1.25
731446.916666667,NaN,NaN
731446.917361111,4.29,1.09
731447,4.69,1.26
731447.000694444,4.55,1.09
731447.083333333,NaN,NaN
731447.084027778,4.92,1.16
731447.166666667,NaN,NaN
731447.167361111,4.77,1.18
731447.25,4.65,1.18
731447.250694444,4.76,1.1
731447.333333333,NaN,NaN
731447.334027778,4.35,1.11
731447.416666667,NaN,NaN
731447.417361111,4.97,1.24
731447.5,4.72,1.27
731447.500694444,4.97,1.23
731447.583333333,NaN,NaN
731447.584027778,5.08,1.23
731447.666666667,NaN,NaN
731447.667361111,4.95,1.16
731447.75,4.56,1.31
731447.750694444,4.39,1.17
731447.833333333,NaN,NaN
731447.834027778,3.74,1.26
731447.916666667,NaN,NaN
731447.917361111,3.97,1.21
731448,4.42,1.4
731448.000694444,4.04,1.23
731448.083333333,NaN,NaN
731448.084027778,3.98,1.15
731448.166666667,NaN,NaN
731448.167361111,4.04,1.18
731448.25,4.05,1.3
731448.250694444,3.97,1.17
731448.333333333,NaN,NaN
731448.334027778,4.35,1.21
731448.416666667,NaN,NaN
731448.417361111,4.14,1.18
731448.5,4.3,1.36
731448.500694444,4.23,1.22
731448.583333333,NaN,NaN
731448.584027778,NaN,NaN
731448.584722222,4.63,1.29
731448.666666667,NaN,NaN
731448.667361111,4.7,1.35
731448.75,3.91,1.22
731448.750694444,4.23,1.18
731448.833333333,NaN,NaN
731448.834027778,4.54,1.32
731448.916666667,NaN,NaN
731448.917361111,4.55,1.31
731449,4.39,1.38
731449.000694444,4.88,1.41
731449.083333333,NaN,NaN
731449.084027778,4.63,1.29
731449.166666667,NaN,NaN
731449.167361111,4.7,1.36
731449.5,3.51,0.99
731449.500694444,3.83,0.99
731449.604166667,NaN,NaN
731449.604861111,4.69,1.29
731449.666666667,NaN,NaN
731449.667361111,4.46,1.27
731449.75,3.99,1.25
731449.750694444,4.13,1.19
731449.833333333,NaN,NaN
731449.834027778,4.85,1.42
731449.916666667,NaN,NaN
731449.917361111,4.43,1.23
731450,4.69,1.31
731450.000694444,4.63,1.18
731450.083333333,NaN,NaN
731450.084027778,4.92,1.26
731450.166666667,NaN,NaN
731450.167361111,4.91,1.28
731450.25,4.08,1.38
731450.250694444,4.24,1.34
731450.333333333,NaN,NaN
731450.334027778,3.53,1.26
731450.416666667,NaN,NaN
731450.417361111,3.79,1.26
731450.5,3.69,1.18
731450.500694444,NaN,NaN
731450.501388889,3.95,1.15
731450.583333333,NaN,NaN
731450.584027778,4.66,1.17
731450.5875,NaN,NaN
731450.666666667,NaN,NaN
731450.667361111,4.79,1.11
731450.75,4.64,1.24
731450.750694444,4.77,1.16
731450.833333333,NaN,NaN
731450.834027778,4.59,1.21
731450.916666667,NaN,NaN
731450.917361111,4.64,1.22
731451,4.51,1.28
731451.000694444,4.79,1.24
731451.083333333,NaN,NaN
731451.084027778,4.75,1.28
731451.166666667,NaN,NaN
731451.167361111,4.49,1.19
731451.25,4.27,1.33
731451.250694444,4.58,1.28
731451.333333333,NaN,NaN
731451.334027778,4.41,1.21
731451.416666667,NaN,NaN
731451.417361111,4.56,1.2
731451.5,NaN,NaN
731451.500694444,4.41,1.23
731451.583333333,NaN,NaN
731451.584027778,4.03,1.15
731451.666666667,NaN,NaN
731451.667361111,3.86,1.12
731451.833333333,NaN,NaN
731451.834027778,4.48,1.28
731451.916666667,NaN,NaN
731451.917361111,5.06,1.38
731452,4.31,1.2
731452.000694444,4.73,1.27
731452.083333333,NaN,NaN
731452.084027778,4.82,1.31
731452.166666667,NaN,NaN
731452.167361111,4.69,1.24
731452.25,4.47,1.11
731452.250694444,3.92,1.13
731452.333333333,NaN,NaN
731452.334027778,4.46,1.21
731452.41875,NaN,NaN
731452.419444444,4.97,1.22
731452.5,4.57,1.17
731452.500694444,5.11,1.22
731452.583333333,NaN,NaN
731452.584027778,5.17,1.09
731452.666666667,NaN,NaN
731452.667361111,4.42,1.04
731452.75,4.86,1.43
731452.750694444,5.06,1.19
731452.833333333,NaN,NaN
731452.834027778,NaN,NaN
731452.835416667,4.8,1.14
731452.916666667,NaN,NaN
731452.917361111,4.89,1.26
731453,4.14,1.33
731453.000694444,4.26,1.21
731453.072916667,NaN,NaN
731453.073611111,4.3,1.18
731453.166666667,NaN,NaN
731453.167361111,4.26,1.25
731453.25,4.25,1.39
731453.250694444,4.19,1.15
731453.333333333,NaN,NaN
731453.334027778,4.25,1.19
731453.416666667,NaN,NaN
731453.417361111,4.26,1.19
731453.5,4.29,1.33
731453.500694444,4.45,1.19
731453.583333333,NaN,NaN
731453.584027778,NaN,NaN
731453.584722222,4.44,1.12
731453.666666667,NaN,NaN
731453.667361111,4.37,1.15
731453.75,3.45,1.1
731453.750694444,3.41,0.97
731453.833333333,NaN,NaN
731453.834027778,4.35,1.22
731453.916666667,NaN,NaN
731453.920833333,4.23,1.21
731454,3.8,1.19
731454.000694444,4.03,1.13
731454.083333333,NaN,NaN
731454.084027778,4.01,1.16
731454.166666667,NaN,NaN
731454.167361111,3.85,1.1
731454.25,3.88,1.19
731454.250694444,4.05,1.11
731454.334027778,4.29,1.22
731454.336111111,NaN,NaN
731454.416666667,NaN,NaN
731454.417361111,4.35,1.21
731454.5,4.26,1.25
731454.500694444,4.22,1.07
731454.583333333,NaN,NaN
731454.584027778,4.46,1.17
731454.666666667,NaN,NaN
731454.667361111,4.87,1.15
731454.75,4.76,1.33
731454.750694444,4.85,1.23
731454.833333333,NaN,NaN
731454.834027778,4.27,1.1
731454.916666667,NaN,NaN
731454.917361111,3.8,1.13
731455,4.05,1.23
731455.000694444,4.06,1.17
731455.083333333,NaN,NaN
731455.084027778,4.54,1.03
731455.166666667,NaN,NaN
731455.167361111,5.23,1.13
731455.25,4.8,1.23
731455.250694444,4.89,1.1
731455.333333333,NaN,NaN
731455.334027778,4.76,1.05
731455.416666667,NaN,NaN
731455.417361111,4.96,1.07
731455.5,5.47,1.22
731455.500694444,5.65,1.14
731455.583333333,NaN,NaN
731455.584027778,5.06,1.09
731455.666666667,NaN,NaN
731455.667361111,5.41,1.19
731455.75,5.01,1.3
731455.750694444,4.78,1.04
731455.833333333,NaN,NaN
731455.834027778,4.78,1.04
731455.916666667,NaN,NaN
731455.917361111,4.83,1
731456,NaN,NaN
731456.000694444,5.01,1.06
731456.083333333,NaN,NaN
731456.084027778,4.18,0.95
731456.166666667,NaN,NaN
731456.167361111,4.56,1.1
731456.25,4.62,1.22
731456.250694444,4.71,1.11
731456.333333333,NaN,NaN
731456.334027778,4.22,1.06
731456.416666667,3.98,1.04
731456.417361111,4.17,0.94
731456.5,4.12,1.09
731456.500694444,4.34,1.04
731456.583333333,NaN,NaN
731456.584027778,3.83,1.19
731456.666666667,NaN,NaN
731456.667361111,3.99,1.31
731456.75,3.91,1.26
731456.750694444,4.06,1.21
731456.833333333,NaN,NaN
731456.834027778,3.84,1.06
731456.916666667,NaN,NaN
731456.917361111,4.17,1.16
731457,3.97,1.19
731457.000694444,4,1.09
731457.083333333,NaN,NaN
731457.084027778,3.77,1.13
731457.166666667,NaN,NaN
731457.167361111,4.11,1.21
731457.25,4.11,1.3
731457.250694444,4.11,1.26
731457.319444445,NaN,NaN
731457.320138889,4.15,1.17
731457.416666667,NaN,NaN
731457.417361111,4.23,1.21
731457.496527778,4.41,1.35
731457.497222222,4.34,1.2
731457.583333333,NaN,NaN
731457.584027778,4.28,1.18
731457.666666667,NaN,NaN
731457.667361111,4.24,1.22
731457.75,4.22,1.37
731457.750694444,4.19,1.22
731457.833333333,NaN,NaN
731457.834027778,4.09,1.14
731457.916666667,4.13,1.37
731457.917361111,3.75,1.07
731458,4.04,1.3
731458.000694444,3.92,1.12
731458.083333333,NaN,NaN
731458.084027778,4.2,1.17
731458.166666667,NaN,NaN
731458.167361111,4.32,1.24
731458.25,4.65,1.42
731458.250694444,4.7,1.32
731458.329861111,NaN,NaN
731458.330555556,5.68,1.6
731458.415277778,NaN,NaN
731458.415972222,7.37,1.99
731458.5,5.01,1.47
731458.500694444,5.34,1.48
731458.583333333,NaN,NaN
731458.584027778,5,1.32
731458.584722222,NaN,NaN
731458.666666667,NaN,NaN
731458.667361111,4.76,1.25
731458.833333333,NaN,NaN
731458.834027778,3.67,1.04
731458.916666667,NaN,NaN
731458.917361111,4.58,1.23
731459,4.25,1.23
731459.000694444,4.34,1.16
731459.083333333,NaN,NaN
731459.084027778,4.48,1.19
731459.166666667,NaN,NaN
731459.167361111,4.47,1.24
731459.25,4.15,1.23
731459.250694444,4.31,1.21
731459.333333333,NaN,NaN
731459.334027778,4.52,1.2
731459.416666667,NaN,NaN
731459.417361111,3.8,1.07
731459.5,3.77,1.08
731459.500694444,3.93,1.03
731459.583333333,NaN,NaN
731459.584027778,3.14,0.84
731459.666666667,NaN,NaN
731459.667361111,4.24,1.12
731459.75,4.2,1.21
731459.750694444,4.09,1.07
731459.826388889,NaN,NaN
731459.827083333,4.37,1.18
731459.916666667,NaN,NaN
731459.917361111,4.69,1.24
731460,4.62,1.3
731460.000694444,4.72,1.24
731460.083333333,NaN,NaN
731460.084027778,4.28,1.14
731460.166666667,NaN,NaN
731460.167361111,4.27,1.12
731460.243055556,NaN,NaN
731460.24375,4.45,1.16
731460.333333333,NaN,NaN
731460.334027778,4.36,1.14
731460.416666667,NaN,NaN
731460.417361111,4.1,1.13
731460.5,4.14,1.24
731460.500694444,4,1.1
731460.583333333,NaN,NaN
731460.584027778,4.25,1.15
731460.666666667,NaN,NaN
731460.667361111,4.54,1.23
731460.75,4.77,1.3
731460.750694444,4.81,1.19
731460.833333333,NaN,NaN
731460.834027778,5.14,1.21
731460.916666667,NaN,NaN
731460.917361111,5.34,1.13
731461,4.75,1.12
731461.000694444,NaN,NaN
731461.001388889,NaN,NaN
731461.002083333,4.83,1.07
731461.079861111,NaN,NaN
731461.080555556,4.85,1.09
731461.166666667,NaN,NaN
731461.167361111,4.92,1.08
731461.25,4.97,1.22
731461.250694444,5.05,1.07
731461.333333333,NaN,NaN
731461.334027778,4.61,1.07
731461.416666667,NaN,NaN
731461.417361111,4.62,1.05
731461.5,5.1,1.23
731461.500694444,4.93,1.11
731461.583333333,NaN,NaN
731461.584027778,4.71,1.07
731461.666666667,NaN,NaN
731461.667361111,4.61,1.07
731461.75,4.77,1.15
731461.750694444,4.91,1.13
731461.833333333,NaN,NaN
731461.834027778,5.45,1.22
731461.916666667,NaN,NaN
731461.917361111,5.27,1.24
731461.996527778,4.88,1.2
731461.997222222,NaN,NaN
731462,5.2,1.21
731462.082638889,NaN,NaN
731462.083333333,4.99,1.22
731462.166666667,NaN,NaN
731462.167361111,4.67,1.08
731462.239583333,4.5,1.18
731462.240277778,4.72,1.12
731462.333333333,NaN,NaN
731462.334027778,4.4,1.04
731462.416666667,NaN,NaN
731462.417361111,4.07,1.04
731462.5,4.08,1.15
731462.500694444,4.24,1.07
731462.583333333,NaN,NaN
731462.584027778,4.88,1.17
731462.666666667,NaN,NaN
731462.667361111,4.84,1.16
731462.75,4.85,1.25
731462.750694444,4.89,1.07
731462.833333333,NaN,NaN
731462.834027778,5.12,1.09
731462.916666667,NaN,NaN
731462.917361111,5.36,1.18
731463,4.8,1.19
731463.000694444,5.49,1.06
731463.083333333,NaN,NaN
731463.084027778,4.43,1
731463.166666667,NaN,NaN
731463.167361111,4.7,1.08
731463.25,4.82,1.2
731463.250694444,4.9,1.1
731463.333333333,NaN,NaN
731463.334027778,4.74,1.02
731463.416666667,NaN,NaN
731463.417361111,5.12,1.23
731463.5,4.84,1.2
731463.500694444,5.25,1.2
731463.583333333,NaN,NaN
731463.584027778,5.19,1.12
731463.666666667,NaN,NaN
731463.667361111,5.47,1.2
731463.75,4.73,1.17
731463.750694444,5.13,1.05
731463.833333333,NaN,NaN
731463.834027778,5.52,1.14
731463.916666667,NaN,NaN
731463.917361111,4.83,0.74
731465.083333333,NaN,NaN
731465.084027778,3.08,0.53
731465.166666667,NaN,NaN
731465.167361111,4.37,0.84
731465.25,3.67,1.09
731465.250694444,3.65,0.68
731465.333333333,NaN,NaN
731465.334027778,4.21,0.77
731465.416666667,NaN,NaN
731465.417361111,4.36,0.82
731465.5,4.82,1.3
731465.500694444,4.65,0.74
731465.583333333,NaN,NaN
731465.584027778,5.27,1.25
731465.666666667,NaN,NaN
731465.667361111,5.34,1.28
731465.75,4.48,1.29
731465.750694444,4.48,1.17
731465.833333333,NaN,NaN
731465.834027778,4.43,1.16
731465.916666667,NaN,NaN
731465.917361111,4.66,1.16
731466,4.62,1.23
731466.000694444,4.57,1.16
731466.083333333,NaN,NaN
731466.084027778,4.48,1.16
731466.166666667,NaN,NaN
731466.167361111,4.48,1.13
731466.25,4.61,1.27
731466.250694444,4.72,1.19
731466.333333333,NaN,NaN
731466.334027778,4.6,1.13
731466.416666667,NaN,NaN
731466.417361111,5.14,1.32
731466.5,4.83,1.34
731466.500694444,4.88,1.22
731466.583333333,NaN,NaN
731466.584027778,5,1.26
731466.666666667,NaN,NaN
731466.667361111,4.68,1.18
731466.75,4.75,1.28
731466.750694444,4.99,1.17
731466.833333333,4.64,1.22
731466.834027778,4.85,1.16
731466.916666667,4.79,1.27
731466.917361111,5.01,1.26
731467,4.4,1.2
731467.000694444,4.85,1.23
731467.083333333,NaN,NaN
731467.084027778,4.59,1.2
731467.166666667,NaN,NaN
731467.167361111,NaN,NaN
731467.168055556,NaN,NaN
731467.16875,4.51,1.09
731467.25,NaN,NaN
