Time,si_in,mg_in
731346.5,NaN,NaN
731346.500694444,NaN,NaN
731346.559027778,NaN,NaN
731346.559722222,NaN,NaN
731346.583333333,NaN,NaN
731346.584027778,NaN,NaN
731346.666666667,NaN,NaN
731346.667361111,NaN,NaN
731346.75,NaN,NaN
731346.750694444,NaN,NaN
731346.833333333,NaN,NaN
731346.834027778,NaN,NaN
731346.916666667,NaN,NaN
731346.917361111,NaN,NaN
731347,2.8,0.46
731347.000694444,NaN,NaN
731347.083333333,NaN,NaN
731347.084027778,NaN,NaN
731347.18125,NaN,NaN
731347.181944444,NaN,NaN
731347.183333333,NaN,NaN
731347.25,NaN,NaN
731347.250694444,NaN,NaN
731347.333333333,NaN,NaN
731347.334027778,NaN,NaN
731347.416666667,NaN,NaN
731347.417361111,NaN,NaN
731347.5,NaN,NaN
731347.500694444,NaN,NaN
731347.583333333,NaN,NaN
731347.584027778,NaN,NaN
731347.666666667,NaN,NaN
731347.667361111,NaN,NaN
731347.75,NaN,NaN
731347.750694444,NaN,NaN
731347.861111111,NaN,NaN
731347.861805556,NaN,NaN
731347.916666667,NaN,NaN
731347.917361111,NaN,NaN
731348,2.04,0.36
731348.000694444,NaN,NaN
731348.083333333,NaN,NaN
731348.084027778,NaN,NaN
731348.166666667,NaN,NaN
731348.167361111,NaN,NaN
731348.25,NaN,NaN
731348.250694444,NaN,NaN
731348.333333333,NaN,NaN
731348.334027778,NaN,NaN
731348.416666667,NaN,NaN
731348.417361111,NaN,NaN
731348.5,2.19,0.37
731348.500694444,NaN,NaN
731348.583333333,NaN,NaN
731348.584027778,NaN,NaN
731348.666666667,NaN,NaN
731348.667361111,NaN,NaN
731348.75,2.69,0.44
731348.750694444,NaN,NaN
731348.833333333,NaN,NaN
731348.834027778,NaN,NaN
731348.916666667,NaN,NaN
731348.917361111,NaN,NaN
731349,2.62,0.44
731349.000694444,NaN,NaN
731349.083333333,NaN,NaN
731349.084027778,NaN,NaN
731349.166666667,NaN,NaN
731349.167361111,NaN,NaN
731349.25,NaN,NaN
731349.250694444,NaN,NaN
731349.333333333,NaN,NaN
731349.334027778,NaN,NaN
731349.416666667,NaN,NaN
731349.417361111,NaN,NaN
731349.500694444,2.77,0.42
731349.501388889,NaN,NaN
731349.583333333,NaN,NaN
731349.584027778,NaN,NaN
731349.666666667,NaN,NaN
731349.667361111,NaN,NaN
731349.75,2.79,0.71
731349.750694444,NaN,NaN
731349.833333333,NaN,NaN
731349.834027778,NaN,NaN
731349.916666667,NaN,NaN
731349.917361111,NaN,NaN
731350,2.4,0.46
731350.000694444,NaN,NaN
731350.083333333,NaN,NaN
731350.084027778,NaN,NaN
731350.333333333,2.17,0.33
731350.334027778,NaN,NaN
731350.416666667,1.46,0.3
731350.417361111,NaN,NaN
731350.5,NaN,NaN
731350.500694444,NaN,NaN
731350.583333333,NaN,NaN
731350.584027778,NaN,NaN
731350.666666667,NaN,NaN
731350.667361111,NaN,NaN
731350.75,NaN,NaN
731350.750694444,NaN,NaN
731350.833333333,NaN,NaN
731350.834027778,NaN,NaN
731350.916666667,NaN,NaN
731350.917361111,NaN,NaN
731351,2.51,0.55
731351.000694444,NaN,NaN
731351.083333333,NaN,NaN
731351.084027778,NaN,NaN
731351.166666667,NaN,NaN
731351.167361111,NaN,NaN
731351.25,NaN,NaN
731351.250694444,NaN,NaN
731351.333333333,NaN,NaN
731351.334027778,NaN,NaN
731351.416666667,NaN,NaN
731351.417361111,NaN,NaN
731351.5,2.12,0.54
731351.500694444,NaN,NaN
731351.583333333,NaN,NaN
731351.584027778,NaN,NaN
731351.666666667,NaN,NaN
731351.667361111,NaN,NaN
731351.75,NaN,NaN
731351.750694444,NaN,NaN
731351.833333333,NaN,NaN
731351.834027778,NaN,NaN
731353.333333333,NaN,NaN
731353.334027778,NaN,NaN
731353.416666667,NaN,NaN
731353.417361111,NaN,NaN
731353.485416667,NaN,NaN
731353.486111111,NaN,NaN
731353.597916667,NaN,NaN
731353.598611111,NaN,NaN
731353.683333333,NaN,NaN
731353.684027778,NaN,NaN
731353.75,NaN,NaN
731353.750694444,NaN,NaN
731353.833333333,NaN,NaN
731353.834027778,NaN,NaN
731353.916666667,NaN,NaN
731353.917361111,NaN,NaN
731354,2.52,0.54
731354.000694444,NaN,NaN
731354.083333333,NaN,NaN
731354.084027778,NaN,NaN
731354.166666667,NaN,NaN
731354.167361111,NaN,NaN
731354.25,NaN,NaN
731354.250694444,NaN,NaN
731354.333333333,NaN,NaN
731354.334027778,NaN,NaN
731354.416666667,NaN,NaN
731354.417361111,NaN,NaN
731354.418055556,NaN,NaN
731354.5,2.2,0.51
731354.500694444,NaN,NaN
731354.583333333,NaN,NaN
731354.584027778,NaN,NaN
731354.584722222,NaN,NaN
731354.666666667,NaN,NaN
731354.667361111,NaN,NaN
